param R:
	P1			P2		P3			P4 :=
659 8.4705 10.22 5.2733 5.9459
660 11.747 6.9714 7.4095 5.5041
661 7.3751 7.2568 7.3017 6.1535
662 9.7439 9.2235 5.0295 5.2269
663 7.7505 5.6421 7.8692 6.6028
664 11.634 7.8447 8.7884 5.6413
665 8.3641 8.1268 6.6677 5.9911
666 6.2138 10.812 5.821 6.1242
667 7.9672 5.5188 6.458 6.0766
668 9.9233 8.18 6.9521 5.9136
669 10.43 5.2265 7.3822 5.5269
670 9.3813 9.2107 5.2254 5.6211
671 7.9139 9.8007 6.8518 6.6974
672 9.4033 7.4654 8.3986 5.3136
673 7.7059 7.6554 7.6012 6.4681
674 5.9234 9.7069 8.1092 6.8523
675 11.445 7.0405 6.7027 5.8044
676 10.099 5.5655 5.35 5.2973
677 11.715 5.2199 6.8161 5.7653
678 8.3031 7.0509 6.7748 6.0717
679 8.061 6.7496 6.2977 5.9923
680 6.9693 5.0844 6.096 6.2933
681 9.7423 6.8175 8.9956 5.5934
682 7.6352 9.2703 6.2799 6.8355
683 8.2564 11.909 6.8899 5.5434
684 7.9291 8.3997 7.4838 5.8231
685 8.4047 9.2847 7.5494 5.4539
686 9.7672 5.2364 9.0949 6.93
687 11.832 10.136 7.235 5.9931
688 7.6644 5.8483 6.7463 7.2085
689 8.5396 9.1347 7.4903 6.4706
690 11.483 7.3845 5.6041 5.1892
691 8.7467 9.4126 5.1577 5.5023
692 8.5399 6.434 5.5999 6.6662
693 11.139 7.466 7.7681 6.2583
694 10.658 7.7632 5.3864 6.6976
695 7.923 5.1999 8.8486 6.3868
696 7.5695 7.9277 7.2811 6.4426
697 7.1312 10.083 5.6166 5.7991
698 8.1074 9.5993 8.8407 5.6328
699 7.6695 9.6772 6.4558 6.1051
700 7.7065 5.5658 8.6842 7.1319
701 9.7649 7.4195 6.5933 5.9196
702 6.3604 9.0747 7.9956 7.8142
703 8.2142 6.8604 7.7572 5.9025
704 8.7511 9.5955 5.3017 5.8785
705 6.7661 5.3215 8.5462 6.8722
706 11.086 8.4557 9.0019 5.8173
707 9.5319 6.0192 9.8468 6.0891
708 8.971 9.0783 7.3353 6.4945
709 8.3691 5.5311 8.3342 6.1417
710 11.867 9.3169 5.9875 5.4646
711 8.4632 8.1033 7.2894 6.187
712 8.165 6.8904 8.3184 5.9916
713 9.0286 8.0097 7.6884 5.7306
714 9.2769 6.9081 7.566 5.562
715 11.755 6.364 8.3219 5.1004
716 7.4956 5.7625 8.268 6.9638
717 7.3273 7.5015 6.9794 6.3324
718 10.464 7.3185 8.878 6.1024
719 9.0087 6.3793 7.5472 6.8506
720 6.5796 10.875 5.9949 6.4054
721 7.8702 9.9145 5.0247 6.0068
722 6.3462 8.0293 8.1279 5.9278
723 6.7902 6.3957 7.1032 6.2902
724 10.22 8.7255 7.3529 5.893
725 8.9473 10.63 5.3184 5.1706
726 5.6946 8.5429 5.7888 6.6631
727 7.0427 9.3093 7.7735 6.7494
728 8.038 6.5763 8.8775 5.8581
729 7.2466 10.059 7.0184 5.6638
730 9.7606 7.1158 7.0318 5.9381
731 7.1178 5.4215 8.3233 6.7293
732 11.884 6.7744 5.0037 5.2723
733 9.4971 10.327 8.4201 5.3097
734 5.5687 10.261 6.6084 6.4994
735 11.108 9.6285 7.9557 5.2946
736 5.2219 11.87 6.0771 6.0855
737 8.4244 8.1033 6.8528 5.0361
738 7.5236 7.219 11.866 6.3352
739 7.5402 6.3905 7.165 5.6835
740 6.2404 5.6911 8.8904 6.9067
741 9.401 9.7047 6.4764 5.312
742 10.912 8.7118 8.2268 5.5501
743 9.2866 6.1073 8.7248 5.8744
744 7.9672 7.5491 8.3252 6.6041
745 5.2137 10.324 7.2673 7.5048
746 9.7181 9.1155 8.4036 5.2677
747 7.7286 10.44 6.297 6.3632
748 6.02 10.838 6.0399 6.5893
749 6.8251 9.1384 6.061 6.7973
750 5.4165 9.6103 6.7877 6.4295
751 6.4153 8.4107 7.6079 6.3952
752 5.6285 5.4684 10.566 7.3146
753 11.083 5.7413 5.2692 6.5413
754 5.173 10.807 8.0026 6.2653
755 11.227 6.1715 7.8539 6.1756
756 9.2095 6.3487 6.7414 5.9505
757 9.4921 9.1001 8.6312 6.0767
758 7.6887 7.2044 6.7815 6.475
759 10.46 7.7009 7.683 6.3204
760 8.8455 8.3944 8.0657 5.8309
761 6.9297 10.43 8.1714 5.8151
762 6.4618 8.7021 6.7521 5.9256
763 11.526 7.3564 6.3257 5.7793
764 7.2195 8.6615 6.4539 6.3473
765 7.1913 5.8164 10.234 6.0962
766 9.8493 8.3624 6.8358 5.827
767 10.366 8.6662 7.1137 6.2881
768 6.5036 10.238 6.9833 6.3615
769 7.7988 8.3063 5.9643 5.5051
770 7.0144 7.0944 8.2496 6.3422
771 6.7554 9.2484 5.7041 6.1997
772 5.9272 9.407 6.9374 7.2007
773 5.8426 5.4804 9.4075 6.4194
774 9.8895 7.3601 7.2334 6.4068
775 9.5231 6.0517 9.0062 6.3463
776 9.6618 10.078 6.6557 5.5264
777 9.2627 8.1359 6.3888 6.0696
778 7.8299 8.3389 5.4087 6.0763
779 9.9729 11.069 5.6 5.3602
780 6.8337 11.126 5.9716 5.6422
781 7.5647 7.6996 7.1642 6.6192
782 7.2632 9.8467 5.3903 6.2242
783 7.8983 10.87 6.0806 5.6519
784 8.4008 5.6232 10.382 6.6876
785 7.3067 8.9973 5.9556 5.4063
786 10.206 7.5888 8.768 5.4914
787 8.8743 6.5044 6.4318 6.6726
788 10.846 9.7478 5.5156 5.3538
789 8.1131 5.7812 5.5615 5.8266
790 9.8399 6.2467 7.876 6.3853
791 6.8956 7.8326 9.1429 6.9236
792 8.636 5.534 6.3704 5.993
793 10.489 7.8922 6.8591 5.7972
794 11.099 7.4231 7.2612 5.341
795 9.6329 7.8365 7.7794 5.4712
796 8.417 5.1262 6.1072 6.6324
797 6.5832 8.0827 8.9375 7.0898
798 7.8969 6.9574 7.0955 5.8415
799 6.8339 6.4236 9.559 6.9976
800 6.7544 5.8506 8.1097 7.5092
801 9.352 5.2367 8.4544 6.1077
802 6.9407 9.4024 7.3278 5.9868
803 7.9959 10.716 5.6885 6.0375
804 5.1203 11.117 5.6373 6.2692
805 9.0055 7.9705 6.1515 5.8363
806 7.5786 8.6785 7.8915 6.8346
807 10.848 8.1573 6.042 5.0116
808 6.3822 8.6603 8.6792 6.6224
809 11.038 7.0995 7.0652 5.2961
810 5.8705 8.4385 7.4255 5.9139
811 9.3633 6.5073 6.1109 5.9828
812 5.3292 8.4469 6.7087 6.1681
813 8.3562 9.5045 6.3626 5.7425
814 8.2844 11.268 8.1655 6.1299
815 10.877 9.9275 5.5304 5.773
816 6.0927 6.4149 5.1164 6.7072
817 10.01 7.3474 7.1856 6.4807
818 6.2664 5.8266 7.1656 6.5142
819 9.2091 8.0057 5.6998 5.9366
820 9.3106 5.6599 7.4599 6.04
821 6.4446 7.5951 7.7447 6.9969
822 11.921 8.7787 7.7457 5.9242
823 11.08 10.156 7.722 5.3355
824 8.3662 7.2266 6.8499 6.4272
825 6.4954 7.7142 5.6132 5.9965
826 9.1986 10.305 7.3546 6.2906
827 7.8243 6.2748 6.7579 6.379
828 10.932 11.596 6.6292 5.5922
829 7.8498 7.2816 7.3897 5.7462
830 10.528 5.1175 5.9033 6.1755
831 9.7304 7.7671 8.4353 6.491
832 7.1795 8.8526 5.7281 6.1737
833 7.1356 10.409 5.0801 6.048
834 5.5479 7.3569 8.1565 7.1685
835 10.302 8.5263 7.0958 5.4407
836 8.7632 7.0058 6.8773 5.9034
837 10.427 8.6953 8.2557 5.9829
838 8.2337 9.1396 6.4522 5.8372
839 6.9883 7.2879 10.634 6.186
840 7.6306 11.696 7.103 5.3504
841 6.1659 5.379 6.8287 6.6476
842 10.12 9.8427 7.2096 5.55
843 5.7344 9.5832 8.8559 6.3121
844 9.4216 10.448 6.6969 5.4562
845 5.1323 9.0553 7.8612 6.4612
846 5.456 8.5064 5.4569 6.9553
847 7.5037 9.1548 6.8424 6.7421
848 11.298 5.4774 5.016 6.3164
849 9.0982 11.396 5.9269 5.1767
850 8.8896 8.1106 7.5666 5.5694
851 10.886 5.3516 9.2278 6.144
852 8.8941 5.9577 6.6652 6.7062
853 9.9833 7.8967 5.1738 5.5335
854 7.0943 7.5913 8.9893 5.7601
855 9.8264 7.1989 9.1337 6.5513
856 6.7747 6.6695 7.1292 6.3092
857 7.1548 9.3897 7.3449 6.4976
858 6.2479 6.9399 8.6096 6.71
859 9.4436 9.4549 5.2432 6.2538
860 11.177 8.0125 5.544 5.5764
861 11.086 7.5614 7.7865 6.0004
862 6.6694 5.0485 10.522 7.3525
863 10.666 5.1288 8.8083 6.3313
864 9.0751 5.1433 7.4246 6.2888
865 8.6997 7.1596 6.096 6.1876
866 10.348 10.167 7.8125 5.4941
867 5.8066 6.4546 6.7448 6.65
868 11.953 10.727 6.5994 5.2026
869 10.871 5.2436 8.6346 5.7998
870 5.5796 5.2033 11.931 7.4295
871 10.159 10.127 9.3913 5.4322
872 11.039 7.1526 5.1494 5.6292
873 5.9668 8.3771 7.7558 6.3318
874 10.461 7.6653 6.9603 5.4035
875 6.516 9.619 5.549 6.4614
876 9.6961 8.4079 7.2933 5.9287
877 9.6845 8.5497 7.1016 6.2692
878 9.7517 6.5132 9.1006 6.0407
879 11.182 5.8327 7.319 6.0495
880 8.072 8.9694 9.0051 6.2909
881 5.7368 10.744 5.5696 6.8909
882 6.1109 9.5888 6.9589 5.9011
883 6.0625 7.205 8.538 7.0575
884 7.9172 6.0124 9.4544 6.8593
885 8.648 10.447 5.4345 6.113
886 7.1361 7.7745 7.8585 6.5773
887 11.983 8.0352 5.3523 5.0937
888 11.6 8.4043 8.2219 5.4347
889 7.6662 10.98 6.1513 6.4391
890 8.6894 8.9052 6.2002 5.6901
891 11.267 5.8759 8.0194 6.2166
892 10.676 6.6575 7.0367 5.9414
893 11.125 11.113 5.7425 5.118
894 5.6933 10.775 7.2902 6.5434
895 10.777 5.4291 7.2319 5.745
896 7.3871 5.2757 9.5891 7.0413
897 8.6901 7.5473 8.3582 6.8872
898 9.4714 5.8009 9.7497 6.1919
899 7.4305 8.1188 7.0637 6.5229
900 10.795 7.7868 5.0937 6.0792
901 11.165 7.1908 7.0262 5.9831
902 9.5753 7.615 7.8405 5.4514
903 9.5686 5.5087 8.4268 5.9903
904 9.8555 8.2962 8.7596 5.8344
905 5.8706 10.085 6.7363 6.8261
906 8.2957 6.1541 8.6055 6.3354
907 8.7656 8.103 6.6212 6.1349
908 7.3215 10.322 6.4409 6.0567
909 11.553 6.4335 7.7363 5.6847
910 7.2812 8.6416 7.023 6.3317
911 10.593 10.015 6.7104 5.3657
912 6.2924 8.0549 8.4215 6.6484
913 11.247 7.5366 6.0468 5.6539
914 11.222 8.111 7.1795 5.7949
915 6.5871 7.7367 8.8486 7.2148
916 6.1895 9.6845 7.0686 6.2365
917 6.3273 10.748 5.3315 6.4002
918 11.132 9.7385 5.0825 5.4778
919 6.7727 11.322 5.1325 5.6266
920 11.063 6.462 6.7408 6.3702
921 10.829 8.9089 6.6404 5.4515
922 7.5216 9.825 5.0484 5.2443
923 5.6009 9.3229 6.469 6.5268
924 9.751 11.986 7.8062 5.3303
925 10.58 10.367 5.3885 5.0675
926 11.647 7.4 7.8788 6.7707
927 9.5693 7.6473 7.9358 6.636
928 7.1464 10.288 8.1888 6.7002
929 10.017 6.1244 6.5512 5.8687
930 10.644 7.6285 5.9323 5.6397
931 6.9664 6.4274 7.4022 6.6205
932 5.2436 6.5957 8.7197 6.9472
933 6.4456 11.308 5.9038 5.6363
934 10.696 9.2527 5.4444 5.2183
935 7.6113 7.3876 6.6984 6.8183
936 5.298 5.0709 9.1429 7.6597
937 11.057 5.9636 7.5013 5.1516
938 6.8949 5.6553 7.4883 6.5063
939 7.1369 8.3557 5.6413 6.2597
940 6.4778 6.0278 9.5052 6.8378
941 10.063 8.7941 7.1897 6.2393
942 10.725 7.1888 6.8143 5.9091
943 10.113 10.49 6.1744 5.0119
944 6.0475 9.607 5.8973 5.893
945 10.346 7.1529 6.0387 6.1684
946 8.7336 6.6333 8.686 7.2317
947 10.194 9.5746 7.6208 5.4966
948 8.8255 11.83 5.4576 5.0667
949 8.4417 7.932 7.5337 6.3242
950 9.7205 6.6141 6.1709 6.325
951 6.5473 10.515 5.9843 6.1667
952 8.9404 8.1523 7.7933 6.1013
953 8.5673 10.988 6.9717 5.7011
954 11.815 7.1402 6.4767 6.1014
955 6.5017 6.7295 7.9506 6.6945
956 5.7715 5.5981 10.303 7.1331
957 11.25 8.6638 5.598 5.3186
958 10.634 5.7152 7.5149 5.694
959 5.7396 8.9537 7.8247 7.4806
960 5.9536 10.027 5.69 7.0882
961 11.225 5.5485 8.1839 5.7078
962 7.5611 8.2192 7.2869 5.6248
963 10.936 8.7167 7.3072 5.2994
964 5.6821 9.582 9.0399 6.4048
965 10.106 5.1169 6.8806 6.4246
966 10.79 5.9024 5.4139 5.3897
967 11.851 9.39 6.8722 5.1478
968 7.5059 8.5492 6.3174 5.247
969 9.584 7.913 8.2342 6.1696
970 9.9521 8.9174 5.9749 5.5542
971 9.2274 10.41 6.6046 5.7371
972 6.8287 9.6247 6.7172 5.8083
973 9.479 5.3927 9.5554 6.717
974 7.9082 7.5994 9.9953 5.8462
975 7.5845 7.5925 6.86 5.6385
976 8.0648 7.7812 6.3966 6.6212
977 8.6037 5.5064 7.9871 6.9244
978 11.686 5.9489 8.167 6.1715
979 8.1277 7.4342 5.9207 5.8279
980 5.9965 9.3189 5.1063 6.6173
981 5.2557 9.4498 8.5227 6.7041
982 7.7339 7.8547 6.8554 6.0599
983 9.639 7.3833 7.5389 5.4332
984 10.868 7.8101 7.478 5.7684
985 9.3389 5.7891 7.884 5.3568
986 7.4381 8.5133 7.817 6.3644
987 7.2476 9.0875 9.4502 5.9415
988 5.7929 6.8356 8.4373 6.421
989 7.1801 7.7167 7.73 6.5698
990 7.1689 5.1336 11.065 7.0966
991 5.3422 7.487 6.8438 6.7463
992 7.8694 7.5762 5.6853 5.9322
993 10.409 7.4625 7.2827 5.2425
994 6.0055 9.4555 5.2292 6.5937
995 5.3232 5.5744 9.1129 7.3935
996 9.0934 7.0516 10.546 6.253
997 9.1089 10.26 5.3208 6.8442
998 6.6916 11.712 5.5937 5.3607
999 6.1502 10.457 5.1255 6.0951
1000 11.408 7.6573 6.6745 5.9751
